PCDate,PCTime,MEActFOCons,MESFOC_nmile,MERpm,MEShaftPow,ShipSpdToWater,SpdStd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,Latitude,Longitude,Uwind,Vwind,AirTemperature,WindGust,WaveDirection,WavePeriod,SWTemperture,SwellHeight,WaveHeight
2020-08-23,19:50:43,1074.964111,68.9622879,77,5971,15.6,0.4000000000000003,0.02,3.33,6.605,-0.641234636,19.2,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:50:53,1047.173584,66.23659515,77,5626,15.8,0.3162277660168379,0.22,3.94,6.39,-3.255292654,19.2,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:51:05,1039.474365,65.97341156,77,5605,15.8,0.2828427124746188,-0.17,3.14,6.42,-1.931506872,19.4,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:51:16,1068.962036,67.59571075,77,5851,15.8,0.2645751311064588,-0.25,3.43,6.535,-3.255292654,19.2,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:51:26,1018.250122,63.91982269,77,5669,16.0,0.2366431913239844,-0.29,3.7,6.38,-4.562321663,19.5,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:51:36,1042.262207,64.62454224,77,5608,16.1,0.1612451549659706,-0.13,3.22,6.6,-5.215836048,19.2,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:51:48,1028.744263,63.99520874,77,5477,16.1,0.1414213562373095,-0.39,4.64,6.07,-5.215836048,19.2,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:51:58,1044.000244,64.84473419,77,5757,16.1,0.1183215956619928,-0.43,2.65,6.665,-5.215836048,19.1,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:52:08,1032.732666,63.65903473,76,5560,16.2,0.1183215956619928,-0.37,5.13,5.895,-7.262368679,19.3,31.07,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
2020-08-23,19:52:21,1134.489624,69.70322418,78,6289,16.2,0.1483239697419134,-0.7,2.67,6.565,-4.512051582,18.6,31.09,122.32,-1.97957946969205,-1.3353737516823625,300.86669849228514,3.348390947018298,163.4652655621755,4.245586149290678,300.8813286601252,0.4509850422558885,0.0392428968840907
